,Transaction,Date,Price
636,Buy,2020-09-25,3686.39990234375
637,Buy,2020-10-27,3572.25
638,Buy,2020-11-06,3513.550048828125
639,Buy,2021-01-11,3612.85009765625
640,Buy,2021-02-04,3580.0
641,Buy,2021-03-01,3411.800048828125
642,Buy,2021-03-26,3504.60009765625
643,Buy,2021-05-17,3507.25
644,Buy,2021-05-31,3447.85009765625
645,Buy,2021-07-26,3482.0
646,Buy,2021-08-02,3504.64990234375
647,Buy,2021-11-10,3698.5
648,Buy,2021-11-23,3662.14990234375
649,Buy,2021-12-08,3575.75
650,Buy,2021-12-16,3560.60009765625
651,Buy,2021-12-23,3554.60009765625
652,Buy,2021-12-28,3550.64990234375
653,Buy,2022-02-01,3656.60009765625
654,Buy,2022-02-23,3511.14990234375
655,Buy,2022-02-28,3427.449951171875
656,Buy,2022-03-16,3313.64990234375
657,Buy,2022-03-31,3206.39990234375
658,Buy,2022-05-17,3368.85009765625
659,Buy,2022-05-20,3450.25
660,Buy,2022-06-21,3429.300048828125
661,Buy,2022-08-29,3707.64990234375
662,Buy,2022-09-07,3667.89990234375
663,Buy,2022-09-13,3757.699951171875
664,Buy,2022-09-21,3765.64990234375
665,Buy,2022-10-14,3796.25
666,Buy,2022-10-20,3790.14990234375
667,Buy,2022-10-27,3755.300048828125
668,Buy,2022-11-03,3754.050048828125
669,Buy,2023-01-06,4359.0498046875
670,Buy,2023-02-01,4370.9501953125
671,Buy,2023-02-21,4503.35009765625
672,Buy,2023-03-17,4362.5498046875
673,Buy,2023-03-29,4276.2001953125
674,Buy,2023-05-26,4596.2001953125
675,Buy,2023-07-11,5083.89990234375
676,Buy,2023-07-13,5090.35009765625
677,Buy,2023-08-29,4530.75
678,Buy,2023-09-01,4484.35009765625
679,Buy,2023-10-05,4533.89990234375
